0	1	2	3	4	5	6	7
Xkr4	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0
Rp1.1	0	0	0	0	0	0	0	0
Sox17	0.00384234535007705	0.00248633806062662	0.000914965151722266	0	0.0025660112817252	0.742931385898271	0	0
Gm37323	0	0	0	0	0	0	0	0
Mrpl15	1.73988925938486	1.43949261288856	1.64103109405931	1.50060111967192	1.44591841012303	1.47400739354855	1.90602396559647	1.26402608505439
Lypla1	0.620510382080646	0.599596145471677	0.709810035763492	0.598367673655219	0.199942440513648	0.845679039292703	0.668737267408913	0.47085199334089
Gm37988	0.00217933863266743	0	0.00159787606550607	0	0	0	0	0
Tcea1	0.972245534909448	0.859950380310192	0.982260371701816	0.879334525622198	0.6445984184915	0.837320633725197	0.755176332710188	0.73693431625954
Rgs20	0	0.00234859015081974	0.00597279870501766	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0
Atp6v1h	0.183189000172323	0.18852947650626	0.219354692620478	0.217317158643314	0.1871369813801	0.341929474636234	0.36163686032108	0.168051080516897
Oprk1	0	0	0.0022037211773534	0.00244084013717522	0	0	0	0
Npbwr1	0.000851531193588719	0	0.00103301452439082	0	0	0	0	0.0269728989797501
Rb1cc1	0.182746636869902	0.257181307557151	0.2217299257041	0.243881157155802	0.109326283918562	0.180609448762725	0.192562628695863	0.410440472459641
4732440D04Rik	0.0180469420574765	0.0222099474266478	0.0168078534464725	0.0145991984964161	0.0154402543698812	0.0135943678261342	0.0318585572304853	0.00674098830977807
Fam150a	0.000884791243681153	0.00572825678489418	0.00146742937776005	0.0146367213719023	0	0	0	0
St18	0	0	0.0235868820945287	0	0	0	0	0
Pcmtd1	0.127712128879906	0.181025304214835	0.117578842045134	0.193925160418988	0.058983125245787	0.181066608927477	0.0579673252245399	0.298594364606724
Gm26901	0.0142390481385611	0.011150185947729	0.010146462422751	0.0105681973532983	0.00394463763083156	0.00727525164154732	0.00929347235495363	0
Gm30414	0.000385710282592567	0	0	0	0	0	0	0
Sntg1	0	0	0.00338387994027925	0.00570764107089674	0	0	0	0
Rrs1	1.59249185869856	1.11306740452448	1.5444544411111	1.35465950110179	0.615791991851358	0.875251803549363	1.1302366490072	0.765512540745604
