0	1	2	3	4	5
Xkr4	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0
Gm37381	0.000635884797768604	0	0	0	0	0
Rp1	0.0029423577685548	0.000580490458710526	0.0012203954935676	0.112260344669172	0	0
Rp1.1	0	0	0	0	0	0
Sox17	0.00942866445080335	0.00108149515976305	0	0.00264474700350164	0	0
Gm37323	0	0	0	0	0	0
Mrpl15	0.658253124101915	0.633119986529641	0.642445069187399	0.674562581652468	0.827185369115384	0
Lypla1	0.347496282618936	0.36490675500501	0.284107691558609	0.329705641959787	0.362999789537356	0
Gm37988	0.000398407199887426	0.000470243242722163	0	0.00372778519607032	0	0
Tcea1	0.666084962005784	0.62525168516545	0.728733795797288	0.768756892787559	0.690894584916521	0.103805509996471
Rgs20	0.00068367398896498	0	0	0.0214619230580385	0	0
Gm16041	0	0	0	0	0	0
Atp6v1h	0.175655766948532	0.198798153214839	0.239371399255858	0.295541894990974	0.201142489339448	0
Oprk1	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0
Rb1cc1	0.400905362476398	0.493675821157324	0.32646901159205	0.557210518648167	0.749927309016747	0
4732440D04Rik	0.0511932291935117	0.0767168509335466	0.044409532056851	0.0521991977108775	0	0
Fam150a	0	0.000423639813296851	0	0	0	0
St18	0.00282509462109344	0.000425571972987415	0.00421554740310492	0	1.9510477622618	0
Pcmtd1	0.247180755797043	0.312138601270263	0.321139550942875	0.259559471014219	1.14058750773968	0
Gm26901	0.00958897740575656	0.00697376686501473	0.00842024253289197	0	0	0
Gm30414	0	0	0.00074416472532694	0	0	0
Sntg1	0	0	0	0	0	0
Rrs1	0.264782175204108	0.197809338733503	0.386706539494495	0.274565610683362	0	0
Adhfe1	0.00223184220605955	0.00444884880000029	0.0151953913385388	0.0402180002294726	0	0
3110035E14Rik	0	0	0	0	0	0
Gm29520	0	0	0	0	0	0
Mybl1	0.0109433603645228	0.00255815078255994	0.00783276854175943	0.0147414014132514	0	0
Vcpip1	0.111265685935965	0.0993189850572861	0.107194808618117	0.23416049342783	0.160611609007099	0
1700034P13Rik	0.00158840351537559	0.00392152667103121	0	0	0	0
Sgk3	0.0398107679429224	0.0247110587828335	0.0320284562538146	0.13899641393233	0	0
Mcmdc2	0.0128258501407081	0.0124631541192487	0.00725380223368575	0.0204116502324338	0	0
