0	1	2	3	4
Xkr4	0.000277098885508283	0.00214378995666831	0	0.0162016522444959	0
Gm1992	0	0	0	0	0
Gm37381	0	0	0	0	0
Rp1	0	0	0	0	0
Rp1.1	0	0	0	0	0
Sox17	0.000118221168635167	0.00100326422046771	0	0	0
Gm37323	0	0	0	0	0
Mrpl15	1.00765577190264	0.959182588561391	1.25374372364104	0.863348755777591	0.389397254651434
Lypla1	0.386523872092258	0.404717264923435	0.374265897892509	0.386773938706092	0.127720014975844
Gm37988	0.000832726131147181	0.00101842379174687	0	0	0
Tcea1	1.09311733736127	0.929422267183525	1.35004803310178	0.915807194884643	0.24999578371095
Rgs20	0.000307502050314597	0.000362743310442721	0	0	0
Gm16041	0	0	0	0	0
Atp6v1h	0.164941564611266	0.192023278578912	0.0947167506115883	0.213415716871858	0.168018829497647
Oprk1	0.000223138478400865	0.00133457689357956	0	0	0
Npbwr1	0.000216722104180916	0	0	0	0
Rb1cc1	0.216980653479458	0.287014954579862	0.0708698001821409	0.282639307477038	0.131134623847638
4732440D04Rik	0.0328749799778669	0.0489631185962692	0	0.0569937659317649	0.0908149397611421
Fam150a	0.000511883754464009	8.05172609200166e-05	0	0	0
St18	0.000303741426138894	0.000342384292822914	0	0	0
Pcmtd1	0.19438327179725	0.398051822364699	0.0879335131370124	0.291929951873286	0.0696396849141038
Gm26901	0.0299233178100554	0.0378250107716822	0	0.0252031688854999	0
Gm30414	0	0	0	0	0
Sntg1	0	0	0	0	0
Rrs1	1.04238395983325	0.738197689014086	1.04880784961031	0.648794111671756	0.243694838296693
Adhfe1	0.000393550768923218	0.00123290512559803	0	0	0
3110035E14Rik	0	0.00147210484039452	0	0	0
Gm29520	0	0	0	0	0
Mybl1	0.0268430107036431	0.0152897654335758	0.0198905007268796	0.00930368435204025	0
Vcpip1	0.111773561653902	0.13373448426299	0.0280372034970771	0.111561140087913	0
1700034P13Rik	0.00303378340487281	0.00343573569904905	0	0.00488587810222723	0
Sgk3	0.0411432011719894	0.0621664011755565	0.0332422155957242	0.10130636740669	0.0318243634596902
Mcmdc2	0.0398524978219745	0.0317136357180987	0.0148877408626	0.0480048919869842	0.0275333428782255
Snhg6	0.499461116645818	0.502311092125545	0.401851802801672	0.38713708356382	0.0209913667481381
Tcf24	0.000748167105403721	0	0	0	0
Ppp1r42	0.00120694781961442	0.000927009922457625	0	0	0
Gm15818	0	0	0	0	0
Cops5	1.09137050363595	1.00613239276419	1.39184076414667	1.04476001292578	0.524560739688059
Cspp1	0.524546406648983	0.592631649177489	0.181492565507912	0.686485640762051	0.110671099986746
Arfgef1	0.52093252269003	0.599105424856064	0.247264003320938	0.814760884079925	0.160580409022165
Cpa6	0.00103374669968545	0.00154926006418491	0	0.00687616508022078	0
Prex2	0.016142763339032	0.0171467944654596	0	0	0
